job_title,hard_skill
Elementary School Teacher,Curriculum Development|Classroom Technology|Lesson Planning
High School Teacher,Subject Matter Expertise|Lesson Planning|Educational Software
Preschool Teacher,Early Childhood Education|Classroom Management Software|Activity Planning
Special Education Teacher,Individualized Education Plans|Assistive Technology|Behavioral Assessment
School Counselor,Counseling Techniques|Data Analysis|Career Assessment Tools
Academic Advisor,Student Information Systems|Data Analysis|Academic Planning Tools
Education Administrator,Educational Policy|Budgeting|Project Management
Librarian,Library Management Systems|Cataloging|Research Databases
Teaching Assistant,Lesson Support|Educational Software|Data Entry
Instructional Designer,Learning Management Systems|Instructional Design Software|Multimedia Development
Social Worker,Case Management Software|Data Analysis|Social Work Documentation
Clinical Social Worker,Therapy Techniques|Mental Health Assessment|Electronic Health Records
Child Welfare Specialist,Child Protection Systems|Legal Research|Data Analysis
Community Outreach Coordinator,Program Development|CRM|Event Planning
Case Manager,Case Management Software|Data Analysis|Resource Coordination
Youth Counselor,Behavioral Intervention|Counseling Techniques|Data Tracking
Substance Abuse Counselor,Addiction Treatment Methods|Counseling Software|Data Analysis
Family Therapist,Therapy Techniques|Family Systems Analysis|Mental Health Documentation
Mental Health Counselor,Mental Health Assessment|Therapy Techniques|Electronic Health Records
Social Service Manager,Program Management|Budgeting|Data Analysis|Project Management
Adult Education Instructor,Adult Learning Theory|Educational Software|Lesson Planning
Career Counselor,Career Assessment Tools|Data Analysis|Resume Development
School Principal,Educational Leadership|Budgeting|School Management Software
Early Childhood Educator,Early Childhood Curriculum|Activity Planning|Classroom Technology
Education Program Coordinator,Program Development|Project Management|Data Analysis
Social Work Assistant,Case Documentation|Data Entry|Resource Mapping
Rehabilitation Counselor,Vocational Rehabilitation Techniques|Assistive Technology|Data Analysis
Nonprofit Program Manager,Grant Writing|Budgeting|Project Management|CRM
Community Health Worker,Health Education|Data Collection|Community Mapping
Adoption Specialist,Adoption Process Management|Legal Research|Data Analysis
Professor,Research Methods|Academic Writing|Statistical Analysis
Academic Researcher,Data Analysis|Statistical Software|Research Design
ESL Teacher,Language Teaching Methods|Educational Software|Curriculum Development
School Psychologist,Psychological Assessment|Data Analysis|Behavioral Intervention
Curriculum Developer,Curriculum Design|Learning Management Systems|Educational Research
Vocational Counselor,Vocational Assessment|Career Development Tools|Data Analysis
Education Consultant,Educational Strategy|Data Analysis|Project Management
Social Policy Analyst,Policy Analysis|Statistical Analysis|Data Visualization
Crisis Intervention Specialist,Crisis Management Techniques|Counseling Software|Risk Assessment
Peer Support Specialist,Peer Counseling Techniques|Data Tracking|Support Group Facilitation
Education Outreach Specialist,Outreach Program Design|CRM|Event Management
Foster Care Worker,Foster Care Systems|Legal Documentation|Data Analysis
Childcare Worker,Child Development Techniques|Safety Protocols|Activity Planning
Learning Support Specialist,Learning Support Tools|Educational Software|Individualized Instruction
Student Affairs Coordinator,Student Engagement Systems|Event Planning|Data Analysis
Therapeutic Support Worker,Therapeutic Techniques|Behavioral Tracking|Data Documentation
Education Technology Specialist,Educational Technology|Learning Management Systems|Technical Support
Housing Support Worker,Housing Program Software|Resource Coordination|Data Analysis
Disability Support Worker,Assistive Technology|Disability Support Techniques|Data Tracking
