job_title,interest
Elementary School Teacher,Education|Teaching Methodology|Learning Design|Creativity
High School Teacher,Education|Subject Specialization|Learning & Development|Knowledge Management
Preschool Teacher,Early Childhood Education|Learning Experience|Creativity|Child Development
Special Education Teacher,Education|Special Needs Education|Learning Psychology|Empathy
School Counselor,Education|Counseling|Psychology|Mental Health
Academic Advisor,Education|Student Success|Career Development|Learning & Development
Education Administrator,Education|Leadership Development|Strategic Planning|Organizational Development
Librarian,Education|Knowledge Management|Research|Information Design
Teaching Assistant,Education|Teaching Methodology|Learning Support|Teamwork
Instructional Designer,Educational Technology|Instructional Design|Learning Design|Technology
Social Worker,Social Impact|Mental Health|Community Development|Human Services
Clinical Social Worker,Mental Health|Psychology|Healthcare|Therapeutic Practices
Child Welfare Specialist,Child Welfare|Social Impact|Community Development|Psychology
Community Outreach Coordinator,Community Development|Social Impact|Relationship Building|Public Engagement
Case Manager,Social Impact|Human Services|Case Management|Community Development
Youth Counselor,Youth Development|Mental Health|Psychology|Education
Substance Abuse Counselor,Mental Health|Addiction Recovery|Healthcare|Psychology
Family Therapist,Mental Health|Family Dynamics|Psychology|Healthcare
Mental Health Counselor,Mental Health|Psychology|Counseling|Wellness
Social Service Manager,Social Impact|Nonprofit Management|Leadership Development|Strategic Planning
Adult Education Instructor,Adult Education|Learning & Development|Education|Teaching Methodology
Career Counselor,Career Development|Education|Psychology|Human Resources
School Principal,Education|Leadership Development|Strategic Planning|Team Management
Early Childhood Educator,Early Childhood Education|Learning Experience|Creativity|Child Development
Education Program Coordinator,Education|Program Management|Project Management|Community Development
Social Work Assistant,Social Impact|Human Services|Community Development|Support Services
Rehabilitation Counselor,Rehabilitation|Mental Health|Psychology|Vocational Training
Nonprofit Program Manager,Nonprofit Management|Social Impact|Strategic Planning|Philanthropy
Community Health Worker,Public Health|Community Development|Health Education|Social Impact
Adoption Specialist,Adoption|Social Impact|Family Support|Psychology
Professor,Education|Research|Knowledge Management|Academic Development
Academic Researcher,Research|Education|Scientific Research|Data Analysis
ESL Teacher,Education|Language Learning|Cultural Awareness|Teaching Methodology
School Psychologist,Psychology|Mental Health|Education|Learning Psychology
Curriculum Developer,Education|Curriculum Design|Instructional Design|Learning & Development
Vocational Counselor,Career Development|Vocational Education|Psychology|Human Resources
Education Consultant,Education|Strategic Planning|Educational Technology|Organizational Development
Social Policy Analyst,Social Impact|Policy Development|Research|Social Science
Crisis Intervention Specialist,Mental Health|Crisis Management|Psychology|Social Impact
Peer Support Specialist,Mental Health|Peer Support|Community Development|Psychology
Education Outreach Specialist,Education|Community Development|Public Engagement|Learning & Development
Foster Care Worker,Child Welfare|Social Impact|Family Support|Psychology
Childcare Worker,Child Development|Early Childhood Education|Creativity|Wellness
Learning Support Specialist,Education|Learning Support|Special Needs Education|Psychology
Student Affairs Coordinator,Education|Student Engagement|Leadership Development|Event Management
Therapeutic Support Worker,Mental Health|Psychology|Support Services|Wellness
Education Technology Specialist,Educational Technology|Technology|Learning Design|Innovation
Housing Support Worker,Social Impact|Housing Services|Community Development|Human Services
Disability Support Worker,Disability Support|Social Impact|Psychology|Wellness
