job_title,level,min_salary,max_salary,min_exp,max_exp,job_category,job_description,soft_skill,hard_skill,interest,education
Elementary School Teacher,Mid,45000,75000,2,10,Education,"Teaches core subjects like math, reading, and science to young students, fostering foundational learning and social skills in a classroom setting.",Communication|Empathy|Patience|Creativity|Classroom Management,Curriculum Development|Classroom Technology|Lesson Planning,Education|Teaching Methodology|Learning Design|Creativity,Bachelor's in Education|Master's in Education
High School Teacher,Mid,50000,85000,3,12,Education,"Instructs teenagers in specialized subjects such as history, biology, or literature, preparing them for higher education or careers.",Communication|Presentation Skills|Adaptability|Critical Thinking|Mentoring,Subject Matter Expertise|Lesson Planning|Educational Software,Education|Subject Specialization|Learning & Development|Knowledge Management,Bachelor's in Education|Master's in Education|Subject-Specific Bachelor's
Preschool Teacher,Junior,30000,50000,0,5,Education,"Guides early childhood development through play-based learning, helping children build social, emotional, and cognitive skills.",Empathy|Patience|Creativity|Communication|Team Leadership,Early Childhood Education|Classroom Management Software|Activity Planning,Early Childhood Education|Learning Experience|Creativity|Child Development,Bachelor's in Early Childhood Education|Associate's in Education
Special Education Teacher,Mid,55000,90000,3,15,Education,"Works with students who have disabilities, adapting lessons to meet individual needs and collaborating with parents and specialists.",Empathy|Adaptability|Patience|Problem Solving|Communication,Individualized Education Plans|Assistive Technology|Behavioral Assessment,Education|Special Needs Education|Learning Psychology|Empathy,Bachelor's in Special Education|Master's in Special Education
School Counselor,Mid,50000,80000,2,10,Education,"Supports students’ emotional and academic growth, offering guidance on career paths, personal issues, and college applications.",Empathy|Listening|Communication|Conflict Resolution|Decision Making,Counseling Techniques|Data Analysis|Career Assessment Tools,Education|Counseling|Psychology|Mental Health,Master's in School Counseling|Bachelor's in Psychology
Academic Advisor,Mid,45000,75000,2,8,Education,"Assists college students in selecting courses, majors, and career goals, ensuring academic success and timely graduation.",Communication|Listening|Problem Solving|Relationship Building|Time Management,Student Information Systems|Data Analysis|Academic Planning Tools,Education|Student Success|Career Development|Learning & Development,Bachelor's in Education|Master's in Education|Master's in Counseling
Education Administrator,Senior,80000,130000,5,20,Education,"Oversees school operations, manages staff, develops curricula, and ensures compliance with educational standards.",Leadership|Strategic Thinking|Decision Making|Stakeholder Management|Communication,Educational Policy|Budgeting|Project Management,Education|Leadership Development|Strategic Planning|Organizational Development,Master's in Education Administration|Bachelor's in Education|PhD in Education
Librarian,Mid,45000,70000,1,10,Education,"Manages library resources, assists students and faculty with research, and promotes literacy and information access.",Organization|Communication|Attention to Detail|Customer Relations|Research,Library Management Systems|Cataloging|Research Databases,Education|Knowledge Management|Research|Information Design,Master's in Library Science|Bachelor's in Education
Teaching Assistant,Junior,25000,40000,0,5,Education,"Supports teachers by preparing materials, grading assignments, and providing one-on-one student assistance.",Communication|Team Leadership|Patience|Organization|Adaptability,Lesson Support|Educational Software|Data Entry,Education|Teaching Methodology|Learning Support|Teamwork,Associate's in Education|Bachelor's in Education
Instructional Designer,Mid,60000,95000,3,12,Education,"Creates educational content and courses, often for online platforms, blending pedagogy with technology.",Creativity|Communication|Analytical Thinking|Problem Solving|Technical Understanding,Learning Management Systems|Instructional Design Software|Multimedia Development,Educational Technology|Instructional Design|Learning Design|Technology,Master's in Instructional Design|Bachelor's in Education|Master's in Educational Technology
