job_title,level,min_salary,max_salary,min_exp,max_exp,job_category,job_description,soft_skill,hard_skill,interest,education
Farm Manager,Journey,50000,85000,3,10,Agriculture,"Oversees daily operations of a farm, including crop planting, harvesting, and livestock care.",Leadership|Team Leadership|Problem Solving|Communication|Decision Making|Time Management,Operations Management|Budgeting|Inventory Management|Project Management|Supply Chain Management,Outdoor Activities|Animal Care|Gardening|Business Strategy|Technology,Bachelor's in Agriculture|Bachelor's in Operations Management
Agricultural Technician,Entry,35000,55000,0,5,Agriculture,Assists in testing and improving crop production and soil health.,Attention to Detail|Analytical Thinking|Team Leadership|Communication|Learning Agility,Data Analysis|Quality Control|Data Collection|Laboratory Techniques|Environmental Management,Nature Exploration|Scientific Research|DIY Projects|Technology,Associate's in Agriculture|Bachelor's in Environmental Science
Agronomist,Journey,55000,90000,2,8,Agriculture,Studies soil and crop management to optimize agricultural yields.,Analytical Thinking|Research|Problem Solving|Communication|Industry Knowledge,Data Analysis|Statistical Analysis|Research|Environmental Management|Data Modeling,Plant Biology|Environmental Science|Conservation|Research,Bachelor's in Agriculture|Master's in Environmental Science
Livestock Farmer,Journey,45000,75000,2,10,Agriculture,"Raises and manages livestock for meat, dairy, or wool production.",Persistence|Communication|Problem Solving|Time Management|Empathy,Animal Husbandry|Quality Control|Inventory Management|Operations Management,Animal Care|Rural Living|Outdoor Activities|Medical Science,Bachelor's in Animal Science|Bachelor's in Agriculture
Horticulturist,Journey,40000,70000,2,8,Agriculture,"Cultivates and manages plants, flowers, and trees for gardens or commercial use.",Creativity|Attention to Detail|Problem Solving|Communication|Patience,Environmental Management|Design|Project Management|Research|Quality Control,Gardening|Botany|Design|Photography|Landscaping,Bachelor's in Horticulture|Bachelor's in Environmental Science
Agricultural Engineer,Journey,65000,110000,3,10,Agriculture,Designs machinery and systems to improve farming efficiency.,Technical Understanding|Problem Solving|Analytical Thinking|Creativity|Communication,Machine Learning|CAD Software|Project Management|Data Modeling|Engineering Design,Technology|Engineering Design|Innovation|Problem Solving,Bachelor's in Agricultural Engineering|Master's in Engineering
Food Scientist,Journey,60000,95000,2,8,Agriculture,"Develops and tests food products for safety, quality, and shelf life.",Research|Analytical Thinking|Attention to Detail|Communication|Creativity,Data Analysis|Quality Control|Product Development|Statistical Analysis|Research,Cooking|Scientific Research|Nutrition|Product Development,Bachelor's in Food Science|Master's in Food Science
Soil Scientist,Journey,55000,85000,2,8,Environment,Analyzes soil composition to support sustainable agriculture and land use.,Analytical Thinking|Research|Problem Solving|Communication|Sustainability Awareness,Data Analysis|GIS|Research|Environmental Management|Data Visualization,Geology|Environmental Science|Outdoor Activities|Research,Bachelor's in Environmental Science|Master's in Environmental Science
Forester,Journey,50000,80000,2,10,Environment,"Manages forest lands for timber production, conservation, and recreation.",Problem Solving|Communication|Leadership|Sustainability Awareness|Time Management,GIS|Environmental Management|Project Management|Data Analysis|Quality Control,Conservation|Wildlife|Outdoor Activities|Environmental Management,Bachelor's in Forestry|Bachelor's in Environmental Science
Environmental Scientist,Journey,60000,90000,2,8,Environment,Studies environmental impacts and develops solutions for pollution control.,Analytical Thinking|Research|Communication|Problem Solving|Sustainability Awareness,Data Analysis|Environmental Management|Research|Statistical Analysis|Data Visualization,Climate Science|Research|Recycling|Sustainability,Bachelor's in Environmental Science|Master's in Environmental Science
