job_title,interest
General Practitioner,Healthcare|Medical Science|Patient Care|Medical Research|Public Health
Registered Nurse,Healthcare|Patient Care|Medical Administration|Mental Health|Wellness
Pharmacist,Healthcare|Pharmaceuticals|Medical Science|Medical Research|Health Policy
Surgeon,Healthcare|Medical Science|Patient Care|Medical Research|Innovation
Medical Laboratory Technician,Healthcare|Medical Science|Data Analysis|Scientific Research|Biotechnology
Physical Therapist,Healthcare|Patient Care|Wellness|Medical Science|Health Policy
Dentist,Healthcare|Medical Science|Patient Care|Medical Research|Wellness
Paramedic,Healthcare|Patient Care|Medical Science|Emergency Medicine|Public Health
Anesthesiologist,Healthcare|Medical Science|Patient Care|Medical Research|Innovation
Clinical Psychologist,Healthcare|Mental Health|Psychology|Medical Research|Wellness
Optometrist,Healthcare|Medical Science|Patient Care|Wellness|Health Policy
Radiologist,Healthcare|Medical Science|Medical Research|Data Analysis|Patient Care
Medical Assistant,Healthcare|Patient Care|Medical Administration|Wellness|Health Policy
Nurse Practitioner,Healthcare|Patient Care|Medical Science|Public Health|Mental Health|Wellness
Cardiologist,Healthcare|Medical Science|Medical Research|Patient Care|Cardiology
Pharmacy Technician,Healthcare|Pharmaceuticals|Medical Administration|Inventory Management|Health Policy
Occupational Therapist,Healthcare|Patient Care|Wellness|Medical Science|Rehabilitation
Pediatrician,Healthcare|Patient Care|Medical Science|Medical Research|Child Health
Speech Therapist,Healthcare|Patient Care|Wellness|Medical Science|Communication Disorders
Chiropractor,Healthcare|Patient Care|Wellness|Medical Science|Alternative Medicine
Medical Records Clerk,Healthcare|Medical Administration|Data Analysis|Health Policy|Patient Care
Oncologist,Healthcare|Medical Science|Medical Research|Patient Care|Oncology
Dental Hygienist,Healthcare|Patient Care|Wellness|Medical Science|Dental Health
Neurologist,Healthcare|Medical Science|Medical Research|Patient Care|Neuroscience
Respiratory Therapist,Healthcare|Patient Care|Medical Science|Wellness|Respiratory Health
Emergency Medical Technician (EMT),Healthcare|Patient Care|Emergency Medicine|Public Health|Medical Science
Orthopedic Surgeon,Healthcare|Medical Science|Patient Care|Medical Research|Orthopedics
Health Information Manager,Healthcare|Medical Administration|Data Analysis|Health Policy|Information Security
Veterinarian,Healthcare|Medical Science|Patient Care|Animal Health|Medical Research
Surgical Technician,Healthcare|Patient Care|Medical Science|Surgery|Wellness
Psychiatrist,Healthcare|Mental Health|Psychology|Medical Research|Patient Care|Wellness
Dietitian,Healthcare|Wellness|Nutrition|Medical Science|Patient Care|Public Health
Obstetrician/Gynecologist,Healthcare|Patient Care|Medical Science|Medical Research|Women's Health
Medical Billing Specialist,Healthcare|Medical Administration|Financial Analysis|Health Policy|Data Analysis
Pathologist,Healthcare|Medical Science|Medical Research|Data Analysis|Pathology
Ultrasound Technician,Healthcare|Patient Care|Medical Science|Medical Imaging|Wellness
Home Health Aide,Healthcare|Patient Care|Wellness|Medical Administration|Community Health
Biomedical Engineer,Healthcare|Medical Devices|Medical Science|Medical Research|Innovation|Technology
Endocrinologist,Healthcare|Medical Science|Medical Research|Patient Care|Endocrinology
Licensed Practical Nurse (LPN),Healthcare|Patient Care|Medical Administration|Wellness|Public Health
Medical Social Worker,Healthcare|Patient Care|Mental Health|Community Development|Public Health|Social Impact
Gastroenterologist,Healthcare|Medical Science|Medical Research|Patient Care|Gastroenterology
Phlebotomist,Healthcare|Patient Care|Medical Science|Wellness|Laboratory Science
Rehabilitation Counselor,Healthcare|Patient Care|Wellness|Rehabilitation|Mental Health|Social Impact
Infectious Disease Specialist,Healthcare|Medical Science|Medical Research|Public Health|Infectious Diseases
Medical Equipment Technician,Healthcare|Medical Devices|Technology|Medical Science|Patient Care|Innovation
Allergist,Healthcare|Medical Science|Patient Care|Medical Research|Allergy Management
Hospice Nurse,Healthcare|Patient Care|Wellness|Mental Health|Palliative Care|Public Health
Dermatologist,Healthcare|Medical Science|Patient Care|Medical Research|Dermatology
Public Health Analyst,Healthcare|Public Health|Data Analysis|Medical Science|Health Policy|Sustainability
