job_id,job_title,job_category,level,min_salary,max_salary,min_exp,max_exp,soft_skill,hard_skill,interest,education,job_description
1,General Practitioner,Healthcare,Mid,80000,150000,3,7,Communication|Empathy|Problem Solving|Decision Making|Attention to Detail,Medical Diagnosis|Patient Care|Clinical Research|Electronic Health Records|Data Analysis,Healthcare|Medical Science|Patient Care|Medical Research|Public Health,Doctor of Medicine*|Master's in Public Health,"Diagnoses and treats a wide range of acute and chronic illnesses in patients of all ages. Provides preventive care, conducts physical exams, orders diagnostic tests, prescribes medications, and refers patients to specialists when needed."
2,Registered Nurse,Healthcare,Junior,35000,55000,0,3,Communication|Empathy|Team Leadership|Attention to Detail|Patience,Patient Care|Electronic Health Records|Medical Billing|Clinical Procedures|Data Preprocessing,Healthcare|Patient Care|Medical Administration|Mental Health|Wellness,Bachelor's in Nursing|Master's in Nursing,"Delivers patient care by administering medications, monitoring vital signs, and assisting with daily activities. Collaborates with physicians, educates patients on health management, and maintains accurate medical records."
3,Pharmacist,Healthcare,Mid,60000,90000,2,5,Analytical Thinking|Communication|Attention to Detail|Problem Solving|Ethics,Pharmaceutical Research|Data Analysis|Medical Billing|Inventory Management|Regulatory Compliance,Healthcare|Pharmaceuticals|Medical Science|Medical Research|Health Policy,Doctor of Pharmacy|Bachelor's in Pharmacy,"Dispenses prescription medications, advises patients on proper usage and potential side effects, and ensures drug safety. Reviews prescriptions for accuracy, manages inventory, and collaborates with healthcare providers on treatment plans."
4,Surgeon,Healthcare,Senior,120000,200000,5,10,Decision Making|Problem Solving|Attention to Detail|Leadership|Technical Understanding|Stress Management,Surgery|Patient Care|Medical Diagnosis|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Innovation,Doctor of Medicine*|Master's in Surgery*,"Performs surgical procedures to treat injuries, diseases, and deformities. Assesses patient conditions, plans operations, uses advanced surgical techniques, and provides post-operative care to ensure recovery."
5,Medical Laboratory Technician,Healthcare,Junior,30000,50000,1,3,Attention to Detail|Analytical Thinking|Organization|Technical Understanding,Data Analysis|Laboratory Techniques|Quality Control|Medical Equipment Maintenance|Statistical Analysis,Healthcare|Medical Science|Data Analysis|Scientific Research|Biotechnology,Bachelor's in Medical Technology|Associate's in Healthcare Administration,"Conducts laboratory tests on blood, tissue, and other specimens to aid in diagnosis and treatment. Operates and maintains lab equipment, analyzes results, and ensures quality control in testing processes."
6,Physical Therapist,Healthcare,Mid,55000,85000,2,6,Empathy|Communication|Problem Solving|Patience|Body Awareness,Physical Therapy Techniques|Patient Care|Clinical Procedures|Electronic Health Records|Data Preprocessing,Healthcare|Patient Care|Wellness|Medical Science|Health Policy,Doctor of Physical Therapy*|Bachelor's in Health Sciences,"Helps patients recover mobility and manage pain through tailored exercise programs and therapies. Evaluates physical conditions, designs treatment plans, and educates patients on rehabilitation techniques."
7,Dentist,Healthcare,Senior,90000,140000,4,8,Technical Understanding|Attention to Detail|Communication|Decision Making|Leadership,Dental Procedures|Patient Care|Medical Billing|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Wellness,Doctor of Dental Medicine*|Bachelor's in Health Sciences,"Diagnoses and treats oral health issues, including cavities, gum disease, and tooth decay. Performs dental procedures like cleanings, fillings, and extractions, and advises patients on oral hygiene practices."
8,Paramedic,Healthcare,Junior,32000,48000,0,3,Adaptability|Communication|Problem Solving|Patience|Crisis Management,Emergency Medical Procedures|Patient Care|Medical Equipment Maintenance|Data Preprocessing,Healthcare|Patient Care|Medical Science|Emergency Medicine|Public Health,Certificate in Emergency Medical Services*|Associate's in Nursing,"Provides emergency medical care at accident scenes or during patient transport. Administers life-saving treatments, stabilizes patients, and communicates with hospital staff to ensure seamless care transitions."
9,Anesthesiologist,Healthcare,Senior,130000,220000,6,10,Decision Making|Attention to Detail|Technical Understanding|Problem Solving|Stress Management,Anesthesia Administration|Surgery|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Innovation,Doctor of Medicine*|Master's in Anesthesiology*,"Administers anesthesia during surgical procedures to manage pain and ensure patient safety. Monitors vital signs, adjusts anesthesia levels, and provides post-operative pain management."
10,Clinical Psychologist,Healthcare,Mid,65000,95000,3,7,Empathy|Listening|Communication|Analytical Thinking|Confidentiality,Psychological Assessment|Data Analysis|Clinical Research|Electronic Health Records|Statistical Analysis,Healthcare|Mental Health|Psychology|Medical Research|Wellness,PhD in Psychology|Master's in Psychology,"Assesses and treats mental health disorders through therapy and counseling. Conducts psychological evaluations, develops treatment plans, and supports patients in managing emotional and behavioral challenges."
11,Optometrist,Healthcare,Mid,70000,110000,3,6,Attention to Detail|Communication|Problem Solving|Technical Understanding|Empathy,Optometric Procedures|Patient Care|Medical Billing|Electronic Health Records|Data Analysis,Healthcare|Medical Science|Patient Care|Wellness|Health Policy,Doctor of Optometry*|Bachelor's in Health Sciences,"Examines eyes to diagnose vision problems and eye diseases. Prescribes corrective lenses or treatments, performs vision tests, and provides preventive care to maintain eye health."
12,Radiologist,Healthcare,Senior,110000,180000,5,9,Analytical Thinking|Attention to Detail|Technical Understanding|Decision Making|Leadership,Medical Imaging|Data Analysis|Clinical Research|Electronic Health Records|Statistical Analysis,Healthcare|Medical Science|Medical Research|Data Analysis|Patient Care,Doctor of Medicine*|Master's in Radiology*,"Interprets medical imaging such as X-rays, MRIs, and CT scans to diagnose diseases and injuries. Consults with physicians, prepares diagnostic reports, and ensures imaging accuracy."
13,Medical Assistant,Healthcare,Junior,28000,45000,0,2,Communication|Organization|Empathy|Attention to Detail|Team Leadership,Patient Care|Electronic Health Records|Medical Billing|Clinical Procedures|Data Preprocessing,Healthcare|Patient Care|Medical Administration|Wellness|Health Policy,Associate's in Healthcare Administration|Certificate in Medical Assisting*,"Supports healthcare providers by performing administrative and clinical tasks. Schedules appointments, takes patient histories, assists with exams, and manages medical records."
14,Nurse Practitioner,Healthcare,Mid,75000,115000,3,7,Communication|Empathy|Decision Making|Problem Solving|Leadership,Patient Care|Medical Diagnosis|Clinical Procedures|Electronic Health Records|Data Analysis|Clinical Research,Healthcare|Patient Care|Medical Science|Public Health|Mental Health|Wellness,Master's in Nursing|Bachelor's in Nursing,"Provides advanced nursing care, including diagnosing illnesses, prescribing medications, and managing patient treatment plans. Works independently or alongside physicians to deliver comprehensive care."
