job_title,soft_skill
General Practitioner,Communication|Empathy|Problem Solving|Decision Making|Attention to Detail
Registered Nurse,Communication|Empathy|Team Leadership|Attention to Detail|Patience
Pharmacist,Analytical Thinking|Communication|Attention to Detail|Problem Solving|Ethics
Surgeon,Decision Making|Problem Solving|Attention to Detail|Leadership|Technical Understanding|Stress Management
Medical Laboratory Technician,Attention to Detail|Analytical Thinking|Organization|Technical Understanding
Physical Therapist,Empathy|Communication|Problem Solving|Patience|Body Awareness
Dentist,Technical Understanding|Attention to Detail|Communication|Decision Making|Leadership
Paramedic,Adaptability|Communication|Problem Solving|Patience|Crisis Management
Anesthesiologist,Decision Making|Attention to Detail|Technical Understanding|Problem Solving|Stress Management
Clinical Psychologist,Empathy|Listening|Communication|Analytical Thinking|Confidentiality
Optometrist,Attention to Detail|Communication|Problem Solving|Technical Understanding|Empathy
Radiologist,Analytical Thinking|Attention to Detail|Technical Understanding|Decision Making|Leadership
Medical Assistant,Communication|Organization|Empathy|Attention to Detail|Team Leadership
Nurse Practitioner,Communication|Empathy|Decision Making|Problem Solving|Leadership
Cardiologist,Analytical Thinking|Decision Making|Attention to Detail|Technical Understanding|Leadership|Stress Management
Pharmacy Technician,Attention to Detail|Organization|Communication|Technical Understanding
Occupational Therapist,Empathy|Problem Solving|Communication|Creativity|Patience
Pediatrician,Communication|Empathy|Decision Making|Attention to Detail|Leadership|Patience
Speech Therapist,Empathy|Communication|Creativity|Patience|Problem Solving
Chiropractor,Technical Understanding|Communication|Empathy|Problem Solving|Body Awareness
Medical Records Clerk,Organization|Attention to Detail|Confidentiality|Communication
Oncologist,Analytical Thinking|Decision Making|Empathy|Attention to Detail|Leadership|Research
Dental Hygienist,Attention to Detail|Communication|Technical Understanding|Patience
Neurologist,Analytical Thinking|Technical Understanding|Decision Making|Attention to Detail|Leadership
Respiratory Therapist,Technical Understanding|Communication|Problem Solving|Empathy|Attention to Detail
Emergency Medical Technician (EMT),Adaptability|Communication|Crisis Management|Team Leadership|Patience
Orthopedic Surgeon,Decision Making|Technical Understanding|Attention to Detail|Leadership|Problem Solving|Stress Management
Health Information Manager,Organization|Analytical Thinking|Communication|Confidentiality|Leadership
Veterinarian,Empathy|Technical Understanding|Problem Solving|Communication|Attention to Detail
Surgical Technician,Attention to Detail|Team Leadership|Technical Understanding|Adaptability|Patience
Psychiatrist,Empathy|Listening|Analytical Thinking|Decision Making|Confidentiality|Leadership
Dietitian,Communication|Analytical Thinking|Creativity|Empathy|Problem Solving
Obstetrician/Gynecologist,Decision Making|Empathy|Technical Understanding|Attention to Detail|Leadership|Stress Management
Medical Billing Specialist,Organization|Attention to Detail|Communication|Analytical Thinking
Pathologist,Analytical Thinking|Attention to Detail|Technical Understanding|Research|Decision Making
Ultrasound Technician,Technical Understanding|Attention to Detail|Communication|Empathy
Home Health Aide,Empathy|Patience|Communication|Adaptability|Attention to Detail
Biomedical Engineer,Problem Solving|Technical Understanding|Analytical Thinking|Creativity|Team Leadership
Endocrinologist,Analytical Thinking|Decision Making|Attention to Detail|Technical Understanding|Leadership
Licensed Practical Nurse (LPN),Communication|Empathy|Attention to Detail|Team Leadership|Patience
Medical Social Worker,Empathy|Communication|Problem Solving|Listening|Confidentiality
Gastroenterologist,Analytical Thinking|Decision Making|Technical Understanding|Attention to Detail|Leadership
Phlebotomist,Attention to Detail|Communication|Patience|Technical Understanding
Rehabilitation Counselor,Empathy|Communication|Problem Solving|Listening|Creativity
Infectious Disease Specialist,Analytical Thinking|Research|Decision Making|Technical Understanding|Leadership|Attention to Detail
Medical Equipment Technician,Technical Understanding|Problem Solving|Attention to Detail|Communication
Allergist,Analytical Thinking|Communication|Empathy|Attention to Detail|Problem Solving
Hospice Nurse,Empathy|Communication|Patience|Adaptability|Attention to Detail|Compassion
Dermatologist,Technical Understanding|Attention to Detail|Decision Making|Leadership|Communication
Public Health Analyst,Analytical Thinking|Communication|Research|Problem Solving|Strategic Thinking
