job_title,level,min_salary,max_salary,min_exp,max_exp,job_description,soft_skill,hard_skill,interest,education,job_category,job_id
Logistics Coordinator,Junior,35000,50000,0,2,"Coordinates the movement of goods through the supply chain. Schedules shipments, tracks deliveries, and communicates with vendors and drivers to ensure timely arrivals.",Communication|Organization|Problem Solving|Time Management|Team Leadership,Logistics|Supply Chain Management|Excel|Inventory Management|Data Analysis,Supply Chain|Logistics|Operations Management|Data Analysis|Process Improvement,Bachelor's in Supply Chain Management|Associate's in Business Administration,Transportation,Transportation
Truck Driver,Junior,40000,60000,0,3,"Operates trucks to transport goods between locations. Ensures timely delivery, performs basic vehicle maintenance, and adheres to safety regulations.",Adaptability|Attention to Detail|Patience|Safety Consciousness|Self-motivation,Vehicle Operation|Logistics|Safety Regulations|GPS Navigation|Basic Maintenance,Logistics|Transportation|Safety|Vehicle Technology,Certificate in Commercial Driving|High School Diploma,Transportation,Transportation
Warehouse Worker,Junior,30000,45000,0,2,"Handles the loading, unloading, and storage of goods in a warehouse. Maintains inventory records and ensures a clean and organized workspace.",Team Leadership|Attention to Detail|Organization|Adaptability|Physical Stamina,Inventory Management|Forklift Operation|Logistics|Excel|Quality Control,Logistics|Supply Chain|Inventory Management|Operations Management|Process Improvement,Associate's in Business Administration|Certificate in Warehouse Operations,Transportation,Transportation
Delivery Driver,Junior,32000,48000,0,2,"Delivers packages and goods to customers. Plans routes, manages delivery schedules, and provides excellent customer service during drop-offs.",Communication|Time Management|Adaptability|Customer Relations|Attention to Detail,GPS Navigation|Logistics|Customer Service|Time Management|Vehicle Operation,Logistics|Customer Relations|Transportation|Mobile Technology,Certificate in Logistics|High School Diploma,Transportation,Transportation
Freight Forwarder,Junior,38000,55000,1,3,"Arranges the transportation of goods via air, sea, or land. Prepares shipping documents, negotiates rates with carriers, and ensures compliance with customs regulations.",Negotiation|Communication|Analytical Thinking|Attention to Detail|Cultural Awareness,Logistics|Supply Chain Management|Customs Documentation|Data Analysis|Contract Negotiation,Supply Chain|Logistics|Global Business|Business Operations|Data Analysis,Bachelor's in International Business|Associate's in Business Administration,Transportation,Transportation
Logistics Analyst,Mid,50000,75000,2,5,"Analyzes supply chain data to optimize transportation and inventory processes. Prepares reports, identifies cost-saving opportunities, and improves operational efficiency.",Analytical Thinking|Problem Solving|Time Management|Communication|Decision Making,Data Analysis|Supply Chain Management|Excel|Forecasting|Statistical Analysis,Data Analysis|Supply Chain|Operations Management|Business Analysis|Process Optimization,Bachelor's in Business Analytics|Master's in Supply Chain Management,Transportation,Transportation
Transportation Planner,Mid,55000,80000,2,5,"Develops efficient transportation routes and schedules. Analyzes traffic patterns, coordinates with logistics teams, and ensures timely goods movement.",Strategic Thinking|Analytical Thinking|Problem Solving|Communication|Organization,Logistics|GIS|Data Analysis|Route Optimization|Supply Chain Management,Logistics|Transportation|Data Analysis|Supply Chain|Strategic Planning,Bachelor's in Operations Management|Master's in Transportation Engineering,Transportation,Transportation
Warehouse Supervisor,Mid,45000,65000,2,5,"Oversees warehouse operations and staff. Monitors inventory levels, ensures safety compliance, and improves workflow efficiency.",Leadership|Team Leadership|Decision Making|Organization|Conflict Resolution,Inventory Management|Logistics|Quality Control|Excel|Process Improvement,Supply Chain|Logistics|Inventory Management|Operations Management|Team Leadership,Bachelor's in Business Administration|Associate's in Operations Management,Transportation,Transportation
Fleet Coordinator,Mid,48000,70000,2,5,"Manages a fleet of vehicles, scheduling maintenance and repairs. Tracks driver performance and ensures compliance with transportation regulations.",Organization|Communication|Problem Solving|Time Management|Attention to Detail,Fleet Management|Logistics|Excel|Data Analysis|Vehicle Maintenance,Logistics|Transportation|Fleet Management|Data Analysis|Operations Management,Bachelor's in Operations Management|Certificate in Fleet Management,Transportation,Transportation
Dispatch Supervisor,Mid,50000,72000,3,6,"Supervises dispatch team to coordinate drivers and deliveries. Resolves logistical issues, ensures on-time performance, and maintains communication with stakeholders.",Team Leadership|Decision Making|Communication|Problem Solving|Crisis Management,Logistics|Dispatch Software|Data Analysis|Excel|Supply Chain Management,Logistics|Supply Chain|Operations Management|Team Management|Data Analysis,Bachelor's in Business Administration|Associate's in Logistics,Transportation,Transportation
