job_title,education
Electrician,Certificate in Electrical Technology|Associate's in Electrical Engineering|Apprenticeship
Plumber,Certificate in Plumbing|Associate's in Plumbing Technology|Apprenticeship
Carpenter,Certificate in Carpentry|Associate's in Construction Technology|Apprenticeship
HVAC Technician,Certificate in HVAC Technology|Associate's in HVAC Systems|Apprenticeship
Welder,Certificate in Welding|Associate's in Welding Technology|Apprenticeship
Auto Mechanic,Certificate in Automotive Technology|Associate's in Automotive Repair|Apprenticeship
Mason,Certificate in Masonry|Associate's in Construction Technology|Apprenticeship
Painter,Certificate in Painting|Apprenticeship|High School Diploma
Roofer,Certificate in Roofing|Apprenticeship|High School Diploma
Construction Laborer,High School Diploma|Certificate in Construction|On-the-Job Training
Heavy Equipment Operator,Certificate in Heavy Equipment Operation|High School Diploma|Apprenticeship
Pipefitter,Certificate in Pipefitting|Associate's in Plumbing Technology|Apprenticeship
Boilermaker,Certificate in Boilermaking|Associate's in Welding Technology|Apprenticeship
Sheet Metal Worker,Certificate in Sheet Metal Technology|Associate's in Construction Technology|Apprenticeship
Elevator Mechanic,Certificate in Elevator Technology|Associate's in Electrical Engineering|Apprenticeship
Glazier,Certificate in Glazing|Apprenticeship|High School Diploma
Tile Setter,Certificate in Tile Setting|Apprenticeship|High School Diploma
Drywall Installer,Certificate in Drywall Installation|Apprenticeship|High School Diploma
Concrete Finisher,Certificate in Concrete Finishing|Apprenticeship|High School Diploma
Landscaper,Certificate in Landscaping|Associate's in Horticulture|High School Diploma
Pest Control Technician,Certificate in Pest Control|High School Diploma|State Licensing
Cleaner,High School Diploma|On-the-Job Training
Security Guard,High School Diploma|Certificate in Security Training|State Licensing
Locksmith,Certificate in Locksmithing|Apprenticeship|High School Diploma
Appliance Repair Technician,Certificate in Appliance Repair|Associate's in Electronics|Apprenticeship
Maintenance Worker,High School Diploma|Certificate in Facility Maintenance|On-the-Job Training
Janitor,High School Diploma|On-the-Job Training
Handyman,High School Diploma|Certificate in General Trades|On-the-Job Training
Delivery Driver,High School Diploma|Commercial Driver's License (CDL)|On-the-Job Training
Bus Driver,High School Diploma|Commercial Driver's License (CDL)|Certificate in Passenger Transport
Taxi Driver,High School Diploma|Driver's License|On-the-Job Training
Warehouse Worker,High School Diploma|Certificate in Warehouse Operations|On-the-Job Training
Forklift Operator,High School Diploma|Forklift Certification|On-the-Job Training
Parking Attendant,High School Diploma|On-the-Job Training
Barber,Certificate in Barbering|State Licensing|Apprenticeship
Hairdresser,Certificate in Cosmetology|State Licensing|Apprenticeship
Cook,Certificate in Culinary Arts|Associate's in Culinary Arts|On-the-Job Training
Waiter/Waitress,High School Diploma|On-the-Job Training
Bartender,High School Diploma|Certificate in Bartending|On-the-Job Training
Tailor,Certificate in Tailoring|Apprenticeship|High School Diploma
Upholsterer,Certificate in Upholstery|Apprenticeship|High School Diploma
Shoe Repairer,Certificate in Shoe Repair|Apprenticeship|High School Diploma
Laundry Worker,High School Diploma|On-the-Job Training
Gardener,Certificate in Horticulture|High School Diploma|On-the-Job Training
Housekeeper,High School Diploma|On-the-Job Training
Moving Specialist,High School Diploma|On-the-Job Training
Waste Collector,High School Diploma|On-the-Job Training
Automotive Detailer,High School Diploma|Certificate in Automotive Detailing|On-the-Job Training
Personal Care Aide,High School Diploma|Certificate in Personal Care|State Certification
