job_title,level,min_salary,max_salary,min_exp,max_exp,job_category,job_description,soft_skill,hard_skill,interest,education
Electrician,Journey,45000,75000,2,10,Trades,"Installs, maintains, and repairs electrical wiring, equipment, and fixtures in buildings.",Problem Solving|Attention to Detail|Safety Consciousness|Team Leadership|Communication,Electrical Wiring|Circuit Testing|Blueprint Reading|Safety Protocols|Power Tools,Electrical Systems|Technology|Troubleshooting|Hands-on Work|Safety,Certificate in Electrical Technology|Associate's in Electrical Engineering|Apprenticeship
Plumber,Journey,40000,70000,2,10,Trades,"Installs and repairs piping systems for water, gas, and drainage in residential and commercial properties.",Problem Solving|Time Management|Safety Consciousness|Customer Relations|Adaptability,Pipe Installation|Plumbing Systems|Blueprint Reading|Welding|Leak Detection,Plumbing Systems|Problem Solving|Construction|Hands-on Work|Water Management,Certificate in Plumbing|Associate's in Plumbing Technology|Apprenticeship
Carpenter,Journey,42000,68000,2,8,Trades,"Constructs, repairs, and installs wooden structures, frameworks, and furniture.",Attention to Detail|Creativity|Team Leadership|Communication|Persistence,Woodworking|Blueprint Reading|Power Tools|Measurement|Finishing Techniques,Woodworking|Craftsmanship|Construction|Design|Hands-on Work,Certificate in Carpentry|Associate's in Construction Technology|Apprenticeship
HVAC Technician,Journey,46000,78000,2,10,Trades,"Installs, maintains, and repairs heating, ventilation, and air conditioning systems.",Technical Understanding|Problem Solving|Safety Consciousness|Customer Relations|Time Management,HVAC Systems|Refrigeration|Ductwork Installation|Diagnostic Tools|Maintenance Protocols,HVAC Technology|Mechanical Systems|Troubleshooting|Comfort Systems|Hands-on Work,Certificate in HVAC Technology|Associate's in HVAC Systems|Apprenticeship
Welder,Journey,43000,72000,2,8,Trades,Joins metal parts using various welding techniques for construction and manufacturing.,Attention to Detail|Safety Consciousness|Persistence|Technical Understanding|Team Leadership,Welding Techniques|Blueprint Reading|Metal Fabrication|Safety Protocols|Grinding,Metalwork|Craftsmanship|Construction|Technology|Hands-on Work,Certificate in Welding|Associate's in Welding Technology|Apprenticeship
Auto Mechanic,Journey,38000,65000,1,8,Trades,"Diagnoses, repairs, and maintains vehicles, focusing on engines, brakes, and transmissions.",Problem Solving|Attention to Detail|Customer Relations|Time Management|Adaptability,Engine Repair|Diagnostic Equipment|Brake Systems|Transmission Repair|Vehicle Electronics,Automotive Technology|Mechanical Systems|Troubleshooting|Cars|Hands-on Work,Certificate in Automotive Technology|Associate's in Automotive Repair|Apprenticeship
Mason,Journey,40000,67000,2,8,Trades,"Builds and repairs structures using bricks, concrete blocks, and stones.",Attention to Detail|Team Leadership|Persistence|Safety Consciousness|Physical Stamina,Masonry Techniques|Blueprint Reading|Concrete Mixing|Bricklaying|Power Tools,Masonry|Construction|Craftsmanship|Architecture|Hands-on Work,Certificate in Masonry|Associate's in Construction Technology|Apprenticeship
Painter,Journey,35000,60000,1,6,Trades,"Applies paint, varnish, and other finishes to buildings and structures for protection and aesthetics.",Attention to Detail|Creativity|Time Management|Customer Relations|Patience,Painting Techniques|Surface Preparation|Color Matching|Spray Painting|Safety Protocols,Painting|Art|Design|Color Theory|Hands-on Work,Certificate in Painting|Apprenticeship|High School Diploma
Roofer,Journey,37000,62000,1,6,Trades,"Installs and repairs roofs using materials like shingles, tiles, and metal.",Safety Consciousness|Team Leadership|Persistence|Problem Solving|Adaptability,Roofing Installation|Material Handling|Blueprint Reading|Waterproofing|Safety Protocols,Roofing|Construction|Outdoor Work|Physical Activity|Hands-on Work,Certificate in Roofing|Apprenticeship|High School Diploma
Construction Laborer,Entry,30000,45000,0,3,Trades,Assists in construction projects by performing manual labor tasks like digging and lifting.,Team Leadership|Adaptability|Safety Consciousness|Persistence|Communication,Concrete Pouring|Power Tools|Site Preparation|Material Handling|Safety Protocols,Construction|Physical Work|Teamwork|Outdoor Work|Building Projects,High School Diploma|Certificate in Construction|On-the-Job Training
