job_id,job_title,job_category,level,min_salary,max_salary,min_exp,max_exp,soft_skill,hard_skill,interest,education
1,Junior Software Engineer,Technology,Junior,30000,50000,1,3,Communication|Team Leadership|Adaptability|Time Management|Problem Solving,Python|JavaScript|HTML|CSS|Git,Technology|Mobile Gaming|Web Development|AI|Mobile Apps,Bachelor's in Computer Science|Bachelor's in Software Engineering
2,Senior Software Engineer,Technology,Senior,80000,120000,5,10,Leadership|Communication|Problem Solving|Mentoring|Strategic Thinking|Decision Making,Java|Spring|AWS|Docker|Kubernetes|Microservices,AI|Cloud Computing|System Architecture|Big Data|Security,Bachelor's in Computer Science|Master's in Software Engineering|Bachelor's in Information Technology
3,AI Engineer,Technology,Mid,60000,100000,3,7,Problem Solving|Analytical Thinking|Research|Communication|Adaptability,Python|Machine Learning|TensorFlow|PyTorch|NLP|Computer Vision,AI|Deep Learning|Data Science|Robotics|Research,Bachelor's in Data Science|Master's in Artificial Intelligence|Bachelor's in Computer Science
4,Graphic Designer,Creative,Junior,25000,45000,0,2,Creativity|Communication|Time Management|Attention to Detail|Adaptability,Adobe Photoshop|Adobe Illustrator|Figma|Adobe InDesign|Typography,Art|Design|Photography|Branding|User Experience,Bachelor's in Graphic Design|Bachelor's in Fine Arts|Associate's in Graphic Design
5,Data Analyst,Business,Mid,50000,80000,2,5,Analytical Thinking|Communication|Problem Solving|Attention to Detail|Critical Thinking|Organization,Excel|SQL|Tableau|Power BI|Python|R,Data Analysis|Enterprise Analytics|Statistics|Data Visualization|Market Research,Bachelor's in Statistics|Bachelor's in Mathematics|Bachelor's in Economics
6,Product Manager,Business,Senior,70000,110000,4,8,Leadership|Strategic Thinking|Communication|Problem Solving|Negotiation|Decision Making,Product Development|Market Analysis|Agile|Jira|User Stories|Product Roadmapping,Business Strategy|User Experience|Technology|Market Trends|Healthcare Innovation,Bachelor's in Business Administration|Master's in Management|Bachelor's in Marketing
7,UX Designer,Creative,Mid,55000,85000,2,6,Empathy|Communication|Creativity|Problem Solving|Organization|Research,Figma|Sketch|Adobe XD|Prototyping|User Research|Wireframing,User Experience|Psychology|Design|Technology|User Interface,Bachelor's in Industrial Design|Bachelor's in Psychology|Master's in User Experience
8,DevOps Engineer,Technology,Mid,65000,95000,3,7,Problem Solving|Communication|Adaptability|Team Leadership|Attention to Detail,Salesforce|Docker|Kubernetes|AWS|CI/CD|Shell Scripting,Cloud Computing|Automation|Infrastructure|Security|Technology,Bachelor's in Computer Science|Bachelor's in IT Infrastructure|Bachelor's in System Administration
9,Marketing Specialist,Business,Junior,28000,48000,1,3,Communication|Creativity|Time Management|Social Media Savvy|Adaptability,SEO|Google Analytics|Social Media Marketing|Content Creation|Email Marketing,Marketing|Technology|Advertising|Marketing|Branding,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in Business Administration
10,Finance Analyst,Business,Mid,55000,85000,2,5,Analytical Thinking|Attention to Detail|Problem Solving|Communication|Organization|Decision Making,Excel|Financial Modeling|SQL|Excel|Power BI|Excel,Finance|Economics|Investment|Market Analysis|Risk Management,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Accounting
